抵抗,ていこう, Resistance
接続,せつぞく, Connection
工事,こうじ , Construction work
合成,ごうせい, Synthesis
端子,たんし, Terminal (electricity)
消費電力,しょうひでんりょく, Electricity consumption
抵抗率,ていこうりつ, Resistivity
熱効率,ねつこうりつ, Thermal efficiency
温度,おんど, Temperature
係数,けいすう, Coefficient
許容,きょよう, Permission
単相,たんそう, Single phase
過電流,かでんりゅう, Over current
配線用遮断器,はいせんようしゃだんき, Molded
分岐,ぶんき, Divergence
終端部,しゅうたんぶ, Trailer
検出,けんしゅつ, Detection
役割,やくわり, Role; duties
変流器,へんりゅうき, Transformer
回転,かいてん, Rotation
振動,しんどう, Oscillation
問題,もんだい, Question 
画像,がぞう, Image
開閉器,かいへいき,Switch
矢印,やじるし, Arrow (symbol)
架橋,かきょう, Dridge
損傷,そんしょう, Damage
減少,げんしょう, Decrease
蛍光灯,けいこうとう, Fluorescent lamp
電球,でんきゅう, light bulb
口金,くちがね," Socket (for light, etc.)"
技術基準,ぎじゅつきじゅん,  Technical standards
状態,じょうたい, State; condition
電流計,でんりゅうけい, Ammeter
測定方法,そくていほうほう, Measuring method
記述,きじゅつ, Description
対地,たいち, Ground to ground
電動機,でんどうき, Electric motor
作業,さぎょう, Work
腕木,うでぎ, Bracket
用品,ようひん, Articles
要件,ようけん, Requirement
事業,じぎょう, Project
特定,とくてい, Specific
直流,ちょくりゅう, Direct current; DC
電気設備,でんきせつび, Electrical equipment
電磁,でんじ, Electromagnetic
圧力,あつりょく, Pressure
屋外,おくがい, Outdoors;
省略,しょうりゃく, Omission
倉庫,そうこ, Warehouse
保護装置,ほごそうち, Safeguard
過負荷,かふか, Overload
警報器,けいほうき, Alarm
水銀灯,すいぎんとう, Mercury lamp
配置,はいち, Arrangement
配線工事,はいせんこうじ, Wiring work
絶縁抵抗,ぜつえんていこう, Insulation resistance
直流回路,ちょくりゅうかいろ, Direct
両端,りょうたん, Both ends
負荷,ふか, Load
断線,だんせん, Disconnection
構造,こうぞう, Structure
外箱,そとばこ, Outer case
金属製,きんぞくせい, Made of metal
防護,ぼうご, Protection
機械,きかい, Machine
兼用,けんよう, Multi
始動,しどう, Starting
点灯,てんとう, Turning on a light
測定器,そくていき, Measuring instrument
分電盤,ぶんでんばん, Distribution board
周囲,しゅうい, Surroundings
点検,てんけん, Inspection
天井,てんじょう, Ceiling
防湿,ぼうしつ, Damp proofing
充電,じゅうでん, Charging
作物,さくもつ, Crops; (agricultural) produce
制限,せいげん, Restriction
義務,ぎむ, Duty
高圧,こうあつ, High pressure
設備,せつび, Equipment
受電,じゅでん, Receiving electricity
発電,はつでん, Electricity generation
適用,てきよう, Applying
表示灯,ひょうじとう, Signal light
確認,かくにん, Confirmation
白熱灯,はくねつとう, Incandescent lamp
調光器,ちょうこうき, Dimmer
勢力,せいりょく, Influence
施工,せこう, Construction
平面図,へいめんず, Ground plan
適切,てきせつ, Appropriate
形状,けいじょう, Shape
正弦波,せいげんは, Sine wave
導線,どうせん, Conducting wire
電気抵抗,でんきていこう, Electrical resistance
幹線,かんせん, Main line
最小値,さいしょうち, Minimum value
点滅器,てんめつき, Switch
直接,ちょくせつ, Immediate
切断,せつだん, Cutting
鋼製,こうせい, Made of steel
鉄板,てっぱん,Iron plate
効力,こうりょく, Effect
接触,せっしょく, Touch
原因,げんいん, Cause
内部,ないぶ, Interior 
解釈,かいしゃく, Interpretation
自動販売機,じどうはんばいき, Vending machine
容量,ようりょう, Capacity
電池,でんち, Battery (electricity)
蓄電,ちくでん," Storage of electricity, ""地面(じめん)"
製造,せいぞう, Manufacture
省令,しょうれい, Ministerial ordinance
以下,いか, Not exceeding
種,たね, Cause
本数,ほんすう, Number
遅延,ちえん, Delay
方法,ほうほう, Method
木造,もくぞう, Wooden
個数,こすう, Quantity
*適切,てきせつ, Appropriate
配線図,はいせんず, Wiring diagram
増加,ぞうか, Increase
設置,せっち, Installation
線,せん, Line; stripe
電力損失,でんりょくそんしつ, Electric power loss
集合,しゅうごう, Meeting up
使用目的,しようもくてき, Intended use
電気炊飯器,でんきすいはんき, Electric rice
乾燥機,かんそうき, Drying machine
混合物,こんごうぶつ, Mixture
高周波,こうしゅうは, High frequency
比較,ひかく, Comparison
距離,きょり, Distance
簡易,かんい, Simplicity
水気,みずけ, Moisture
結線,けっせん, Hard wiring
被覆,ひふく, Cover
結果,けっか, Result
電池式,でんちしき, Battery
発生,はっせい,COccurrence
保安,ほあん, Security
障害,しょうがい, Obstacle
法律,ほうりつ, Law
法令,ほうれい, Laws and ordinances; acts
内径,ないけい, Inside diameter
店舗,てんぽ, Shop
鉄骨,てっこつ, Steel frame
負荷率,ふかりつ, Load factor
壁面,へきめん, Surface of a wall
床面,ゆかめん, Floor
箇所,かしょ, Place; point
一般的,いっぱんてき, General
図,ず, Drawing
導体,どうたい, Conductor
熱量,ねつりょう, Quantity of heat
不良,ふりょう, Bad; poor
分岐点,ぶんきてん, Junction
逆回転,ぎゃくかいてん, Spinning the opposite way
水銀,すいぎん, Mercury (element)
厚さ,あつ, Thickness
絶縁テープ,ぜつえんテープ, Electrical tape
半幅,はんはば, Half
出力,しゅつりょく, Output
床,ゆか, Floor
外径,がいけい, Outer diameter
内側,うちがわ, Interior
検査,けんさ, Inspection
常時,じょうじ, Usually
開放,かいほう, Opening
程度,ていど, Standard
補助,ほじょ, Assistance
可動,かどう, Moveable
同法,どうほう," Same method, Law"
住所,じゅうしょ, Address
電気工事士,でんきこうじし, Licensed electrician
従事,じゅうじ, Engaging in (work)
刻印,こくいん, Engraving a seal
組合,くみあわせ, Combination
比熱,ひねつ, Specific heat
電力量,でんりょくりょう, Electric potential energy
電圧降下,でんあつこうか ,Voltage drop
当たり,あ, Hit
周囲温度,しゅういおんど, Ambient temperature
使用方法,しようほうほう, How to use
電気こんろ,でんき, Electric cooking stove. 
炬燵,こたつ, Kotatsu; table over an electric heater with a hanging quilt that retains heat.
速度,そくど, Velocity
多数,たすう, Large number 
操作,そうさ, Operation; Management
銅製,どうせい, Made of copper
強さ,つよ, Strength; power
長さ,なが, Length
文,ぶん, Sentence
性能,せいのう, Ability
漏洩,ろうえい, Leak
測定値,そくていち, Measured value
誘導,ゆうどう, Guidance
工場,こうじょう, Factory
漏れ電流,もでんりゅう, Leakage current
業務,ぎょうむ, Business
販売,はんばい,Sales
方式,ほうしき, Form; Method
輸入,ゆにゅう, Import
極,きょく,Pole
遮断,しゃだん, Isolation
道,みち, Road
示す,しめ, To indicate
必要,ひつよう, Necessity
正しい,ただ, right; correct
地中,ちちゅう, Underground;
流れる,なが,  To flow
太い,ふと, Fat; Thick
大きな,おおきな, Big
公称,こうしょう, Public name
判断,はんだん, Judgment
木造り,きづく, Wood construction
限度,げんど, Limit
穴あけ,あな, Drilling
面取り,めんと, Chamfer
より線,せん, Stranded wire
管,かん, Pipe; Tube
赤色,あかいろ, Red color
動作時間,どうさじかん, Operating time
水平,すいへい, Horizontal plane
指示,しじ, Instructions
主任,しゅにん, Person in charge
特記,とっき, Special mention
に関して,かん, Related to
根拠,こんきょ, Grounds
容易,ようい, Easy
高い,たか, High
物の,もの, Only
同期,どうき, Synchronization
不足,ふそく, Insufficiency
終端,しゅうたん, Terminus
隠蔽,いんぺい, Concealment
施設,しせつ, Institution
感度,かんど, Sensitivity
電気ドリル,でんき, Electric drill
不平衡,ふへいこう, Imbalance
電磁的,でんじてき, Electromagnetic
危険,きけん, Danger
資格,しかく, Qualifications
定義,ていぎ, Definition
合成樹脂,ごうせいじゅし, Plastic
映画館,えいがかん, Movie theater
壁,かべ, Wall
道路,どうろ, Road
高さ,たか, Height
中央,ちゅうおう, Centre
組み合わせ,くみあわせ, Combination
並列,へいれつ, Parallel
値,あたい, Value
直角,ちょっかく, Right angle
耐熱性,たいねつせい, Thermostability
同じ,おな, Same
耐燃性,たいねんせい, Flame resistance
圧縮機,あっしゅくき,  Compressor
手動,しゅどう, Manual
措置,そち, Measure
全て,すべ, Everything
離隔,りかく, Isolation
低圧_,ていあつ, Low voltage
電圧計,でんあつけい, Voltmeter
小型,こがた, Small
位置,いち, Position
極性,きょくせい, Polarity
電話,でんわ,telephone
コンセント,コンセント,power outlet
絶縁体,ぜついんたい,insulator
抵抗器,ていこうき,resistor
コンデンサー,コンデンサー,capacitor
インバーター,インバーター,inverter
トランス,トランス,transformer
サージプロテクター,サージプロテクター,surge protector
リレー,リレー,relay
センサー,センサー,sensor
フューズ,フューズ,fuse
発電機,はつでんき,generator
インダクター,インダクター,inductor
電子回路,でんしかいろ,electronic circuit
回路図,かいろず,circuit diagram
配電盤,はいでんばん,distribution board
自己遮断器,じこしゃだんき,circuit breaker
電子レンジ,でんしレンジ,microwave oven
スイッチ,スイッチ,switch
ブレーカー,ブレーカー,breaker
アース,アース,ground
コイル,コイル,coil
コネクタ,コネクタ,connector
プラグ,プラグ,plug
電子工学,でんしこうがく,electrical engineering
